Timestamp,Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,Label
79646,0.92,-1.04,1.46,-0.05,0.88,0.46,Correct
79737,1.89,7.93,10.68,0.24,0.21,0.94,Correct
80000,0.55,-0.61,1.53,0.12,0.97,-0.07,Wrong
80222,0.73,-0.67,1.65,0.12,0.14,0.99,Wrong
80531,1.4,0.37,2.14,-0.02,0.04,1.01,Wrong
80541,0.55,-0.49,1.53,0.12,0.43,0.9,Correct
80646,1.04,-0.79,1.4,-0.05,0.87,0.46,Correct
80737,7.51,2.5,1.65,0.23,0.24,0.95,Correct
81000,0.98,-1.34,0.98,0.12,0.97,-0.07,Wrong
81222,0.85,-0.85,1.65,0.12,0.14,0.99,Wrong
81531,0.49,-0.55,1.89,-0.03,0.04,1.01,Wrong
81541,0.85,-0.92,1.28,0.12,0.43,0.89,Correct
81646,0.67,-0.79,1.59,-0.05,0.88,0.46,Correct
81737,0.92,-2.38,0.79,0.28,0.16,0.96,Correct
82000,0.61,-0.61,1.34,0.12,0.97,-0.07,Wrong
82222,0.37,-0.98,1.16,0.12,0.14,0.99,Wrong
82531,0.67,-0.18,2.2,-0.02,0.04,1.01,Wrong
82541,0.79,-0.92,1.59,0.12,0.43,0.89,Correct
82646,0.98,-0.92,1.59,-0.05,0.88,0.46,Correct
82737,0.37,0.61,2.38,0.28,0.15,0.94,Correct
83000,0.67,-0.37,1.53,0.12,0.97,-0.07,Wrong
83222,0.85,-1.04,1.65,0.12,0.14,0.99,Wrong
83531,1.04,-0.92,1.89,-0.03,0.04,1.01,Wrong
83541,0.98,-0.24,1.4,0.12,0.43,0.9,Correct
83646,0.79,-0.67,1.4,-0.05,0.87,0.46,Correct
83737,0.79,-1.22,1.89,0.28,0.15,0.94,Correct
84000,0.73,-0.79,1.4,0.11,0.97,-0.07,Wrong
84222,1.16,-1.34,2.2,0.12,0.14,0.99,Wrong
84531,0.85,-0.55,1.89,-0.03,0.04,1.01,Wrong
84541,0.98,-1.34,1.4,0.13,0.44,0.89,Correct
84646,0.73,-0.73,1.53,-0.05,0.88,0.46,Correct
84737,0.79,-1.16,1.59,0.28,0.16,0.95,Correct
85000,0.55,-0.79,1.16,0.12,0.97,-0.07,Wrong
85222,0.73,-1.65,0.98,0.12,0.14,0.99,Wrong
85531,0.67,-0.67,1.59,-0.02,0.04,1.01,Wrong
85541,1.1,-0.61,1.28,0.14,0.43,0.89,Correct
85646,0.85,-0.98,1.59,-0.05,0.87,0.46,Correct
85737,0.55,-0.67,1.59,0.28,0.16,0.95,Correct
86000,0.49,-1.1,1.16,0.11,0.97,-0.07,Wrong
86222,0.92,-0.73,1.53,0.11,0.14,0.99,Wrong
86531,0.85,-0.85,1.53,-0.03,0.04,1.01,Wrong
86541,0.98,-2.08,1.59,0.13,0.43,0.89,Correct
86646,0.67,-0.85,1.4,-0.05,0.88,0.46,Correct
86737,0.67,-1.28,1.4,0.28,0.15,0.95,Correct
87000,0.79,-0.49,1.65,0.11,0.97,-0.07,Wrong
87222,0.92,-0.61,1.53,0.12,0.14,0.99,Wrong
87531,0.73,-0.79,1.53,-0.03,0.04,1.01,Wrong
87541,0.73,-0.79,1.53,0.13,0.43,0.89,Correct
87646,0.79,-0.61,1.59,-0.05,0.87,0.46,Correct
87737,0.98,-1.04,1.59,0.28,0.15,0.95,Correct
88000,0.06,-0.61,1.28,0.11,0.97,-0.07,Wrong
88222,0.79,-0.73,1.53,0.12,0.14,0.99,Wrong
88531,0.73,-0.73,1.83,-0.03,0.04,1.01,Wrong
88541,0.85,-0.55,1.59,0.13,0.43,0.89,Correct
88646,0.85,-0.61,1.4,-0.05,0.88,0.46,Correct
88737,0.79,-0.12,1.46,0.29,0.15,0.95,Correct
89000,0.49,-0.73,1.46,0.11,0.97,-0.07,Wrong
89222,0.85,-0.73,1.53,0.12,0.14,0.99,Wrong
89531,0.61,-0.49,1.4,-0.02,0.04,1.01,Wrong
89541,0.92,-0.85,1.46,0.13,0.43,0.89,Correct
89646,0.61,-0.55,1.65,-0.05,0.88,0.46,Correct
89737,1.28,-0.98,1.59,0.29,0.15,0.95,Correct
90000,0.73,0.12,1.83,0.11,0.97,-0.07,Wrong
90222,0.73,-0.79,1.65,0.12,0.14,0.99,Wrong
90531,0.98,-1.16,2.01,-0.03,0.04,1.01,Wrong
90541,0.92,-0.85,1.46,0.13,0.43,0.89,Correct
90646,0.79,-0.73,1.46,-0.05,0.87,0.46,Correct
90737,0.73,-0.43,1.77,0.29,0.15,0.95,Correct
91000,0.43,-0.61,1.4,0.11,0.97,-0.07,Wrong
91222,1.04,-1.04,1.65,0.12,0.14,0.99,Wrong
91531,-0.67,-1.34,3.05,-0.03,0.04,1.01,Wrong
91541,0.73,-0.55,1.4,0.13,0.43,0.89,Correct
91646,0.73,-0.61,1.59,-0.05,0.87,0.46,Correct
91737,0.67,-0.85,1.59,0.29,0.15,0.95,Correct
92000,0.98,-1.04,1.1,0.12,0.97,-0.07,Wrong
92222,0.73,-0.73,1.46,0.12,0.14,0.99,Wrong
92531,-2.26,0.37,1.53,0,0.04,1.01,Wrong
92541,0.73,-0.12,1.34,0.12,0.43,0.9,Correct
92646,0.73,-0.92,1.53,-0.05,0.88,0.46,Correct
92737,0.85,-0.79,1.59,0.29,0.16,0.95,Correct
93000,0.61,-0.98,1.34,0.11,0.97,-0.07,Wrong
93222,0.85,-0.85,1.59,0.12,0.14,0.99,Wrong
93531,1.4,-4.33,1.59,0.04,0.04,1.01,Wrong
93541,1.22,-1.77,1.53,0.14,0.44,0.89,Correct
93646,0.79,-0.73,1.53,-0.05,0.88,0.46,Correct
93737,0.61,-0.49,2.01,0.29,0.15,0.94,Correct
94000,0.55,-0.98,1.46,0.11,0.97,-0.07,Wrong
94222,0.67,-0.73,1.65,0.12,0.14,0.99,Wrong
94531,0.73,-1.28,-0.06,-0.03,0.05,1.01,Wrong
94541,0.67,-0.61,1.34,0.13,0.44,0.9,Correct
94646,0.92,-0.61,1.65,-0.05,0.88,0.46,Correct
94737,0.85,-0.73,1.71,0.29,0.15,0.95,Correct
